,num_comments,num_reactions,num_shares,page_id,post_id
117,7,205,15,1436860363229411,1436860363229411_1902187050030071
118,3,19,1,1436860363229411,1436860363229411_1902169270031849
119,2,68,3,1436860363229411,1436860363229411_1902061310042645
120,16,326,47,1436860363229411,1436860363229411_1901999143382195
121,321,2500,598,1436860363229411,1436860363229411_1901773073404802
122,2,356,27,1436860363229411,1436860363229411_1901638906751552
123,370,1497,344,1436860363229411,1436860363229411_1901144476800995
124,12,87,41,1436860363229411,1436860363229411_1900839976831445
125,3,75,6,1436860363229411,1436860363229411_1900790546836388
126,3,24,1,1436860363229411,1436860363229411_1901008443481265
127,4,45,6,1436860363229411,1436860363229411_1900831996832243
128,0,33,5,1436860363229411,1436860363229411_1900758823506227
129,322,1621,668,1436860363229411,1436860363229411_1900698973512212
130,37,272,22,1436860363229411,1436860363229411_1900690483513061
131,212,774,231,1436860363229411,1436860363229411_1899350130313763
132,15,29,3,1436860363229411,1436860363229411_1900340833548026
133,47,399,29,1436860363229411,1436860363229411_1900279836887459
134,40,170,48,1436860363229411,1436860363229411_1900076396907803
135,3,49,9,1436860363229411,1436860363229411_1899967746918668
